TIME,POWER,CADENCE
20190106-203137,90,75.0,65.56768729999183
20190106-203138,90,75.0,65.56768729999183
20190106-203139,90,75.0,65.56768729999183
20190106-203140,90,75.0,65.56768729999183
20190106-203141,90,75.0,65.56768729999183
20190106-203142,90,75.0,65.56768729999183
20190106-203143,90,75.0,65.56768729999183
20190106-203144,90,75.0,65.56768729999183
20190106-203145,90,75.0,65.56768729999183
20190106-203146,90,75.0,65.56768729999183
20190106-203147,90,75.0,65.56768729999183
20190106-203148,90,75.0,65.56768729999183
20190106-203149,90,75.0,65.56768729999183
20190106-203150,90,75.0,65.56768729999183
20190106-203151,90,75.0,65.56768729999183
20190106-203153,90,75.0,65.56768729999183
20190106-203154,90,75.0,65.56768729999183
20190106-203155,90,75.0,65.56768729999183
20190106-203156,90,75.0,65.56768729999183
20190106-203157,90,75.0,65.56768729999183
20190106-203158,90,75.0,65.56768729999183
20190106-203159,90,75.0,65.56768729999183
20190106-203200,90,75.0,65.56768729999183
20190106-203201,90,75.0,65.56768729999183
20190106-203202,90,75.0,65.56768729999183
20190106-203203,90,75.0,65.56768729999183
20190106-203204,90,75.0,65.56768729999183
20190106-203205,90,75.0,65.56768729999183
20190106-203206,90,75.0,65.56768729999183
20190106-203207,90,75.0,65.56768729999183
20190106-203208,90,75.0,65.56768729999183
20190106-203209,90,75.0,65.56768729999183
20190106-203210,90,75.0,65.56768729999183
20190106-203211,90,75.0,65.56768729999183
20190106-203212,90,75.0,65.56768729999183
20190106-203213,90,75.0,65.56768729999183
20190106-203214,90,75.0,65.56768729999183
20190106-203215,90,75.0,65.56768729999183
20190106-203216,90,75.0,65.56768729999183
20190106-203217,90,75.0,65.56768729999183
20190106-203218,90,75.0,65.56768729999183
20190106-203219,90,75.0,65.56768729999183
20190106-203220,90,75.0,65.56768729999183
20190106-203221,90,75.0,65.56768729999183
20190106-203222,90,75.0,65.56768729999183
20190106-203223,90,75.0,65.56768729999183
20190106-203224,90,75.0,65.56768729999183
20190106-203225,90,75.0,65.56768729999183
20190106-203226,90,75.0,65.56768729999183
20190106-203227,90,75.0,65.56768729999183
20190106-203228,90,75.0,65.56768729999183
20190106-203229,90,75.0,65.56768729999183
20190106-203230,90,75.0,65.56768729999183
20190106-203231,90,75.0,65.56768729999183
20190106-203232,90,75.0,65.56768729999183
20190106-203233,90,75.0,65.56768729999183
20190106-203234,90,75.0,65.56768729999183
20190106-203235,90,75.0,65.56768729999183
20190106-203236,90,75.0,65.56768729999183
20190106-203237,130,75.0,72.08889616092827
20190106-203238,130,75.0,72.08889616092827
20190106-203239,130,75.0,72.08889616092827
20190106-203240,130,75.0,72.08889616092827
20190106-203241,130,75.0,72.08889616092827
20190106-203242,130,75.0,72.08889616092827
20190106-203243,130,75.0,72.08889616092827
20190106-203244,130,75.0,72.08889616092827
20190106-203245,130,75.0,72.08889616092827
20190106-203246,130,75.0,72.08889616092827
20190106-203247,130,75.0,72.08889616092827
20190106-203248,130,75.0,72.08889616092827
20190106-203249,130,75.0,72.08889616092827
20190106-203250,130,75.0,72.08889616092827
20190106-203251,130,75.0,72.08889616092827
20190106-203252,130,75.0,72.08889616092827
20190106-203253,130,75.0,72.08889616092827
20190106-203254,130,75.0,72.08889616092827
20190106-203255,130,75.0,72.08889616092827
20190106-203256,130,75.0,72.08889616092827
20190106-203257,130,75.0,72.08889616092827
20190106-203258,130,75.0,72.08889616092827
20190106-203259,130,75.0,72.08889616092827
20190106-203300,130,75.0,72.08889616092827
20190106-203301,130,75.0,72.08889616092827
20190106-203302,130,75.0,72.08889616092827
20190106-203303,130,75.0,72.08889616092827
20190106-203304,130,75.0,72.08889616092827
20190106-203305,130,75.0,72.08889616092827
20190106-203306,130,75.0,72.08889616092827
20190106-203307,130,75.0,72.08889616092827
20190106-203308,130,75.0,72.08889616092827
20190106-203309,130,75.0,72.08889616092827
20190106-203310,130,75.0,72.08889616092827
20190106-203311,130,75.0,72.08889616092827
20190106-203312,130,75.0,72.08889616092827
20190106-203313,130,75.0,72.08889616092827
20190106-203314,130,75.0,72.08889616092827
20190106-203315,130,75.0,72.08889616092827
20190106-203316,130,75.0,72.08889616092827
20190106-203317,130,75.0,72.08889616092827
20190106-203318,130,75.0,72.08889616092827
20190106-203319,130,75.0,72.08889616092827
20190106-203320,130,75.0,72.08889616092827
20190106-203321,130,75.0,72.08889616092827
20190106-203322,130,75.0,72.08889616092827
20190106-203323,130,75.0,72.08889616092827
20190106-203325,130,75.0,72.08889616092827
20190106-203326,130,75.0,72.08889616092827
20190106-203327,130,75.0,72.08889616092827
20190106-203328,130,75.0,72.08889616092827
20190106-203329,130,75.0,72.08889616092827
20190106-203330,130,75.0,72.08889616092827
20190106-203331,130,75.0,72.08889616092827
20190106-203332,130,75.0,72.08889616092827
20190106-203333,130,75.0,72.08889616092827
20190106-203334,130,75.0,72.08889616092827
20190106-203335,130,75.0,72.08889616092827
20190106-203336,130,75.0,72.08889616092827
20190106-203337,130,75.0,72.08889616092827
20190106-203338,130,75.0,72.08889616092827
20190106-203339,130,75.0,72.08889616092827
20190106-203340,130,75.0,72.08889616092827
20190106-203341,130,75.0,72.08889616092827
20190106-203342,130,75.0,72.08889616092827
20190106-203343,130,75.0,72.08889616092827
20190106-203344,130,75.0,72.08889616092827
20190106-203345,130,75.0,72.08889616092827
20190106-203346,130,75.0,72.08889616092827
20190106-203347,130,75.0,72.08889616092827
20190106-203348,130,75.0,72.08889616092827
20190106-203349,130,75.0,72.08889616092827
20190106-203350,130,75.0,72.08889616092827
20190106-203351,130,75.0,72.08889616092827
20190106-203352,130,75.0,72.08889616092827
20190106-203353,130,75.0,72.08889616092827
20190106-203354,130,75.0,72.08889616092827
20190106-203355,130,75.0,72.08889616092827
20190106-203356,130,75.0,72.08889616092827
20190106-203357,130,75.0,72.08889616092827
20190106-203358,130,75.0,72.08889616092827
20190106-203359,130,75.0,72.08889616092827
20190106-203400,130,75.0,72.08889616092827
20190106-203401,130,75.0,72.08889616092827
20190106-203402,130,75.0,72.08889616092827
20190106-203403,130,75.0,72.08889616092827
20190106-203404,130,75.0,72.08889616092827
20190106-203405,130,75.0,72.08889616092827
20190106-203406,130,75.0,72.08889616092827
20190106-203407,130,75.0,72.08889616092827
20190106-203408,130,75.0,72.08889616092827
20190106-203409,130,75.0,72.08889616092827
20190106-203410,130,75.0,72.08889616092827
20190106-203411,130,75.0,72.08889616092827
20190106-203412,130,75.0,72.08889616092827
20190106-203413,130,75.0,72.08889616092827
20190106-203414,130,75.0,72.08889616092827
20190106-203415,130,75.0,72.08889616092827
20190106-203416,130,75.0,72.08889616092827
20190106-203417,130,75.0,72.08889616092827
20190106-203418,130,75.0,72.08889616092827
20190106-203419,130,75.0,72.08889616092827
20190106-203420,130,75.0,72.08889616092827
20190106-203421,130,75.0,72.08889616092827
20190106-203422,130,75.0,72.08889616092827
20190106-203423,130,75.0,72.08889616092827
20190106-203424,130,75.0,72.08889616092827
20190106-203425,130,75.0,72.08889616092827
20190106-203426,130,75.0,72.08889616092827
20190106-203427,130,75.0,72.08889616092827
20190106-203428,130,75.0,72.08889616092827
20190106-203429,130,75.0,72.08889616092827
20190106-203430,130,75.0,72.08889616092827
20190106-203431,130,75.0,72.08889616092827
20190106-203432,130,75.0,72.08889616092827
20190106-203433,130,75.0,72.08889616092827
20190106-203434,130,75.0,72.08889616092827
20190106-203435,130,75.0,72.08889616092827
20190106-203436,130,75.0,72.08889616092827
20190106-203437,130,75.0,72.08889616092827
20190106-203438,110,75.0,69.29540004435569
20190106-203439,110,75.0,69.29540004435569
20190106-203440,110,75.0,69.29540004435569
20190106-203441,110,75.0,69.29540004435569
20190106-203442,110,75.0,69.29540004435569
20190106-203443,110,75.0,69.29540004435569
20190106-203444,110,75.0,69.29540004435569
20190106-203445,110,75.0,69.29540004435569
20190106-203446,110,75.0,69.29540004435569
20190106-203447,110,75.0,69.29540004435569
20190106-203448,110,75.0,69.29540004435569
20190106-203449,110,75.0,69.29540004435569
20190106-203450,110,75.0,69.29540004435569
20190106-203451,110,75.0,69.29540004435569
20190106-203453,110,75.0,69.29540004435569
20190106-203454,110,75.0,69.29540004435569
20190106-203455,110,75.0,69.29540004435569
20190106-203456,110,75.0,69.29540004435569
20190106-203457,110,75.0,69.29540004435569
20190106-203458,110,75.0,69.29540004435569
20190106-203459,110,75.0,69.29540004435569
20190106-203500,110,75.0,69.29540004435569
20190106-203501,110,75.0,69.29540004435569
20190106-203502,110,75.0,69.29540004435569
20190106-203503,110,75.0,69.29540004435569
20190106-203504,110,75.0,69.29540004435569
20190106-203505,110,75.0,69.29540004435569
20190106-203506,110,75.0,69.29540004435569
20190106-203507,110,75.0,69.29540004435569
20190106-203508,110,75.0,69.29540004435569
20190106-203509,110,75.0,69.29540004435569
20190106-203510,110,75.0,69.29540004435569
20190106-203511,110,75.0,69.29540004435569
20190106-203512,110,75.0,69.29540004435569
20190106-203513,110,75.0,69.29540004435569
20190106-203514,110,75.0,69.29540004435569
20190106-203515,110,75.0,69.29540004435569
20190106-203516,110,75.0,69.29540004435569
20190106-203517,110,75.0,69.29540004435569
20190106-203518,110,75.0,69.29540004435569
20190106-203519,110,75.0,69.29540004435569
20190106-203520,110,75.0,69.29540004435569
20190106-203521,110,75.0,69.29540004435569
20190106-203522,110,75.0,69.29540004435569
20190106-203523,110,75.0,69.29540004435569
20190106-203524,110,75.0,69.29540004435569
20190106-203525,110,75.0,69.29540004435569
20190106-203526,110,75.0,69.29540004435569
20190106-203527,110,75.0,69.29540004435569
20190106-203528,110,75.0,69.29540004435569
20190106-203529,110,75.0,69.29540004435569
20190106-203530,110,75.0,69.29540004435569
20190106-203531,110,75.0,69.29540004435569
20190106-203532,110,75.0,69.29540004435569
20190106-203533,110,75.0,69.29540004435569
20190106-203534,110,75.0,69.29540004435569
20190106-203535,110,75.0,69.29540004435569
20190106-203536,110,75.0,69.29540004435569
20190106-203537,110,75.0,69.29540004435569
20190106-203538,110,75.0,69.29540004435569
20190106-203539,110,75.0,69.29540004435569
20190106-203540,110,75.0,69.29540004435569
20190106-203541,110,75.0,69.29540004435569
20190106-203542,110,75.0,69.29540004435569
20190106-203543,110,75.0,69.29540004435569
20190106-203544,110,75.0,69.29540004435569
20190106-203545,110,75.0,69.29540004435569
20190106-203546,110,75.0,69.29540004435569
20190106-203547,110,75.0,69.29540004435569
20190106-203548,110,75.0,69.29540004435569
20190106-203549,110,75.0,69.29540004435569
20190106-203550,110,75.0,69.29540004435569
20190106-203551,110,75.0,69.29540004435569
20190106-203552,110,75.0,69.29540004435569
20190106-203553,110,75.0,69.29540004435569
20190106-203554,110,75.0,69.29540004435569
20190106-203555,110,75.0,69.29540004435569
20190106-203556,110,75.0,69.29540004435569
20190106-203557,110,75.0,69.29540004435569
20190106-203558,110,75.0,69.29540004435569
20190106-203559,110,75.0,69.29540004435569
20190106-203600,110,75.0,69.29540004435569
20190106-203601,110,75.0,69.29540004435569
20190106-203602,110,75.0,69.29540004435569
20190106-203603,110,75.0,69.29540004435569
20190106-203604,110,75.0,69.29540004435569
20190106-203605,110,75.0,69.29540004435569
20190106-203606,110,75.0,69.29540004435569
20190106-203607,110,75.0,69.29540004435569
20190106-203608,110,75.0,69.29540004435569
20190106-203609,110,75.0,69.29540004435569
20190106-203610,110,75.0,69.29540004435569
20190106-203611,110,75.0,69.29540004435569
20190106-203612,110,75.0,69.29540004435569
20190106-203613,110,75.0,69.29540004435569
20190106-203614,110,75.0,69.29540004435569
20190106-203615,110,75.0,69.29540004435569
20190106-203616,110,75.0,69.29540004435569
20190106-203617,110,75.0,69.29540004435569
20190106-203618,110,75.0,69.29540004435569
20190106-203619,110,75.0,69.29540004435569
20190106-203620,110,75.0,69.29540004435569
20190106-203621,110,75.0,69.29540004435569
20190106-203622,110,75.0,69.29540004435569
20190106-203623,110,75.0,69.29540004435569
20190106-203624,110,75.0,69.29540004435569
20190106-203625,110,75.0,69.29540004435569
20190106-203626,110,75.0,69.29540004435569
20190106-203628,110,75.0,69.29540004435569
20190106-203629,110,75.0,69.29540004435569
20190106-203630,110,75.0,69.29540004435569
20190106-203631,110,75.0,69.29540004435569
20190106-203632,110,75.0,69.29540004435569
20190106-203633,110,75.0,69.29540004435569
20190106-203634,110,75.0,69.29540004435569
20190106-203635,110,75.0,69.29540004435569
20190106-203636,110,75.0,69.29540004435569
20190106-203637,110,75.0,69.29540004435569
20190106-203638,110,75.0,69.29540004435569
20190106-203639,110,75.0,69.29540004435569
20190106-203640,180,75.0,76.82188751330958
20190106-203641,180,75.0,76.82188751330958
20190106-203642,180,75.0,76.82188751330958
20190106-203643,180,75.0,76.82188751330958
20190106-203644,180,75.0,76.82188751330958
20190106-203645,180,75.0,76.82188751330958
20190106-203646,180,75.0,76.82188751330958
20190106-203647,180,75.0,76.82188751330958
20190106-203648,180,75.0,76.82188751330958
20190106-203649,180,75.0,76.82188751330958
20190106-203650,180,75.0,76.82188751330958
20190106-203651,180,75.0,76.82188751330958
20190106-203652,180,75.0,76.82188751330958
20190106-203653,180,75.0,76.82188751330958
20190106-203654,180,75.0,76.82188751330958
20190106-203655,180,75.0,76.82188751330958
20190106-203656,180,75.0,76.82188751330958
20190106-203657,180,75.0,76.82188751330958
20190106-203658,180,75.0,76.82188751330958
20190106-203659,180,75.0,76.82188751330958
20190106-203700,180,75.0,76.82188751330958
20190106-203701,180,75.0,76.82188751330958
20190106-203702,180,75.0,76.82188751330958
20190106-203703,180,75.0,76.82188751330958
20190106-203704,180,75.0,76.82188751330958
20190106-203705,180,75.0,76.82188751330958
20190106-203706,180,75.0,76.82188751330958
20190106-203707,180,75.0,76.82188751330958
20190106-203708,180,75.0,76.82188751330958
20190106-203709,180,75.0,76.82188751330958
20190106-203710,180,75.0,76.82188751330958
20190106-203711,180,75.0,76.82188751330958
20190106-203712,180,75.0,76.82188751330958
20190106-203713,180,75.0,76.82188751330958
20190106-203714,180,75.0,76.82188751330958
20190106-203715,180,75.0,76.82188751330958
20190106-203716,180,75.0,76.82188751330958
20190106-203717,180,75.0,76.82188751330958
20190106-203718,180,75.0,76.82188751330958
20190106-203719,180,75.0,76.82188751330958
20190106-203720,180,75.0,76.82188751330958
20190106-203721,180,75.0,76.82188751330958
20190106-203722,180,75.0,76.82188751330958
20190106-203723,180,75.0,76.82188751330958
20190106-203724,180,75.0,76.82188751330958
20190106-203725,180,75.0,76.82188751330958
20190106-203726,180,75.0,76.82188751330958
20190106-203727,180,75.0,76.82188751330958
20190106-203728,180,75.0,76.82188751330958
20190106-203729,180,75.0,76.82188751330958
20190106-203730,180,75.0,76.82188751330958
20190106-203731,180,75.0,76.82188751330958
20190106-203732,180,75.0,76.82188751330958
20190106-203733,180,75.0,76.82188751330958
20190106-203734,180,75.0,76.82188751330958
20190106-203735,180,75.0,76.82188751330958
20190106-203736,180,75.0,76.82188751330958
20190106-203737,180,75.0,76.82188751330958
20190106-203738,180,75.0,76.82188751330958
20190106-203739,180,75.0,76.82188751330958
20190106-203740,180,75.0,76.82188751330958
20190106-203741,180,75.0,76.82188751330958
20190106-203742,180,75.0,76.82188751330958
20190106-203743,180,75.0,76.82188751330958
20190106-203744,180,75.0,76.82188751330958
20190106-203745,180,75.0,76.82188751330958
20190106-203746,180,75.0,76.82188751330958
20190106-203747,180,75.0,76.82188751330958
20190106-203748,180,75.0,76.82188751330958
20190106-203749,180,75.0,76.82188751330958
20190106-203750,180,75.0,76.82188751330958
20190106-203751,180,75.0,76.82188751330958
20190106-203752,180,75.0,76.82188751330958
20190106-203753,180,75.0,76.82188751330958
20190106-203754,180,75.0,76.82188751330958
20190106-203755,180,75.0,76.82188751330958
20190106-203756,180,75.0,76.82188751330958
20190106-203757,180,75.0,76.82188751330958
20190106-203758,180,75.0,76.82188751330958
20190106-203800,180,75.0,76.82188751330958
20190106-203801,180,75.0,76.82188751330958
20190106-203802,180,75.0,76.82188751330958
20190106-203803,180,75.0,76.82188751330958
20190106-203804,180,75.0,76.82188751330958
20190106-203805,180,75.0,76.82188751330958
20190106-203806,180,75.0,76.82188751330958
20190106-203807,180,75.0,76.82188751330958
20190106-203808,180,75.0,76.82188751330958
20190106-203809,180,75.0,76.82188751330958
20190106-203810,180,75.0,76.82188751330958
20190106-203811,180,75.0,76.82188751330958
20190106-203812,180,75.0,76.82188751330958
20190106-203813,180,75.0,76.82188751330958
20190106-203814,180,75.0,76.82188751330958
20190106-203815,180,75.0,76.82188751330958
20190106-203816,180,75.0,76.82188751330958
20190106-203817,180,75.0,76.82188751330958
20190106-203818,180,75.0,76.82188751330958
20190106-203819,180,75.0,76.82188751330958
20190106-203820,180,75.0,76.82188751330958
20190106-203821,180,75.0,76.82188751330958
20190106-203822,180,75.0,76.82188751330958
20190106-203823,180,75.0,76.82188751330958
20190106-203824,180,75.0,76.82188751330958
20190106-203825,180,75.0,76.82188751330958
20190106-203826,180,75.0,76.82188751330958
20190106-203827,180,75.0,76.82188751330958
20190106-203828,180,75.0,76.82188751330958
20190106-203829,180,75.0,76.82188751330958
20190106-203830,180,75.0,76.82188751330958
20190106-203831,180,75.0,76.82188751330958
20190106-203832,180,75.0,76.82188751330958
20190106-203833,180,75.0,76.82188751330958
20190106-203834,180,75.0,76.82188751330958
20190106-203835,180,75.0,76.82188751330958
20190106-203836,180,75.0,76.82188751330958
20190106-203837,180,75.0,76.82188751330958
20190106-203838,180,75.0,76.82188751330958
20190106-203839,180,75.0,76.82188751330958
20190106-203840,180,75.0,76.82188751330958
20190106-203841,130,75.0,72.08889616092827
20190106-203842,130,75.0,72.08889616092827
20190106-203843,130,75.0,72.08889616092827
20190106-203844,130,75.0,72.08889616092827
20190106-203845,130,75.0,72.08889616092827
20190106-203846,130,75.0,72.08889616092827
20190106-203847,130,75.0,72.08889616092827
20190106-203848,130,75.0,72.08889616092827
20190106-203849,130,75.0,72.08889616092827
20190106-203850,130,75.0,72.08889616092827
20190106-203851,130,75.0,72.08889616092827
20190106-203852,130,75.0,72.08889616092827
20190106-203853,130,75.0,72.08889616092827
20190106-203854,130,75.0,72.08889616092827
20190106-203855,130,75.0,72.08889616092827
20190106-203856,130,75.0,72.08889616092827
20190106-203857,130,75.0,72.08889616092827
20190106-203858,130,75.0,72.08889616092827
20190106-203859,130,75.0,72.08889616092827
20190106-203900,130,75.0,72.08889616092827
20190106-203901,130,75.0,72.08889616092827
20190106-203902,130,75.0,72.08889616092827
20190106-203903,130,75.0,72.08889616092827
20190106-203904,130,75.0,72.08889616092827
20190106-203905,130,75.0,72.08889616092827
20190106-203906,130,75.0,72.08889616092827
20190106-203907,130,75.0,72.08889616092827
20190106-203908,130,75.0,72.08889616092827
20190106-203909,130,75.0,72.08889616092827
20190106-203910,130,75.0,72.08889616092827
20190106-203911,130,75.0,72.08889616092827
20190106-203912,130,75.0,72.08889616092827
20190106-203913,130,75.0,72.08889616092827
20190106-203914,130,75.0,72.08889616092827
20190106-203915,130,75.0,72.08889616092827
20190106-203916,130,75.0,72.08889616092827
20190106-203917,130,75.0,72.08889616092827
20190106-203918,130,75.0,72.08889616092827
20190106-203919,130,75.0,72.08889616092827
20190106-203920,130,75.0,72.08889616092827
20190106-203921,130,75.0,72.08889616092827
20190106-203922,130,75.0,72.08889616092827
20190106-203923,130,75.0,72.08889616092827
20190106-203924,130,75.0,72.08889616092827
20190106-203925,130,75.0,72.08889616092827
20190106-203926,130,75.0,72.08889616092827
20190106-203927,130,75.0,72.08889616092827
20190106-203928,130,75.0,72.08889616092827
20190106-203929,130,75.0,72.08889616092827
20190106-203930,130,75.0,72.08889616092827
20190106-203931,130,75.0,72.08889616092827
20190106-203932,130,75.0,72.08889616092827
20190106-203933,130,75.0,72.08889616092827
20190106-203934,130,75.0,72.08889616092827
20190106-203935,130,75.0,72.08889616092827
20190106-203936,130,75.0,72.08889616092827
20190106-203937,130,75.0,72.08889616092827
20190106-203938,130,75.0,72.08889616092827
20190106-203939,130,75.0,72.08889616092827
20190106-203940,130,75.0,72.08889616092827
20190106-203942,130,75.0,72.08889616092827
20190106-203943,130,75.0,72.08889616092827
20190106-203944,130,75.0,72.08889616092827
20190106-203945,130,75.0,72.08889616092827
20190106-203946,130,75.0,72.08889616092827
20190106-203947,130,75.0,72.08889616092827
20190106-203948,130,75.0,72.08889616092827
20190106-203949,130,75.0,72.08889616092827
20190106-203950,130,75.0,72.08889616092827
20190106-203951,130,75.0,72.08889616092827
20190106-203952,130,75.0,72.08889616092827
20190106-203953,130,75.0,72.08889616092827
20190106-203954,130,75.0,72.08889616092827
20190106-203955,130,75.0,72.08889616092827
20190106-203956,130,75.0,72.08889616092827
20190106-203957,130,75.0,72.08889616092827
20190106-203958,130,75.0,72.08889616092827
20190106-203959,130,75.0,72.08889616092827
20190106-204000,130,75.0,72.08889616092827
20190106-204001,130,75.0,72.08889616092827
20190106-204002,130,75.0,72.08889616092827
20190106-204003,130,75.0,72.08889616092827
20190106-204004,130,75.0,72.08889616092827
20190106-204005,130,75.0,72.08889616092827
20190106-204006,130,75.0,72.08889616092827
20190106-204007,130,75.0,72.08889616092827
20190106-204008,130,75.0,72.08889616092827
20190106-204009,130,75.0,72.08889616092827
20190106-204010,130,75.0,72.08889616092827
20190106-204011,130,75.0,72.08889616092827
20190106-204012,130,75.0,72.08889616092827
20190106-204013,130,75.0,72.08889616092827
20190106-204014,130,75.0,72.08889616092827
20190106-204015,130,75.0,72.08889616092827
20190106-204016,130,75.0,72.08889616092827
20190106-204017,130,75.0,72.08889616092827
20190106-204018,130,75.0,72.08889616092827
20190106-204019,130,75.0,72.08889616092827
20190106-204020,130,75.0,72.08889616092827
20190106-204021,130,75.0,72.08889616092827
20190106-204022,130,75.0,72.08889616092827
20190106-204023,130,75.0,72.08889616092827
20190106-204024,130,75.0,72.08889616092827
20190106-204025,130,75.0,72.08889616092827
20190106-204026,130,75.0,72.08889616092827
20190106-204027,130,75.0,72.08889616092827
20190106-204028,130,75.0,72.08889616092827
20190106-204029,130,75.0,72.08889616092827
20190106-204030,130,75.0,72.08889616092827
20190106-204031,130,75.0,72.08889616092827
20190106-204032,130,75.0,72.08889616092827
20190106-204033,130,75.0,72.08889616092827
20190106-204034,130,75.0,72.08889616092827
20190106-204035,130,75.0,72.08889616092827
20190106-204036,130,75.0,72.08889616092827
20190106-204037,130,75.0,72.08889616092827
20190106-204038,130,75.0,72.08889616092827
20190106-204039,130,75.0,72.08889616092827
20190106-204040,130,75.0,72.08889616092827
20190106-204041,130,75.0,72.08889616092827
20190106-204042,250,75.0,80.78612673823433
20190106-204043,250,75.0,80.78612673823433
20190106-204044,250,75.0,80.78612673823433
20190106-204045,250,75.0,80.78612673823433
20190106-204046,250,75.0,80.78612673823433
